Devices,,,,
1000,,,,
,,1412755 - Force,,
Frame,Sub Frame,Fx,Fy,Fz
,,N,N,N
127,0,0.484749,-8.32507,-587.163
127,1,0.443552,-8.37793,-587.337
127,2,0.398484,-8.43398,-587.56
127,3,0.350114,-8.50034,-587.843
128,0,0.294624,-8.5823,-588.156
128,1,0.22864,-8.67875,-588.434
128,2,0.153938,-8.78471,-588.598
128,3,0.0726032,-8.89736,-588.593
129,0,-0.0152334,-9.01844,-588.437
129,1,-0.107734,-9.15319,-588.221
129,2,-0.200646,-9.30741,-588.051
129,3,-0.289277,-9.48414,-587.99
130,0,-0.370432,-9.68004,-588.036
130,1,-0.447159,-9.88539,-588.149
130,2,-0.531844,-10.0937,-588.304
130,3,-0.636793,-10.308,-588.492
131,0,-0.760802,-10.5323,-588.69
131,1,-0.890452,-10.7632,-588.862
131,2,-1.00986,-10.9956,-588.995
131,3,-1.10768,-11.2304,-589.084
132,0,-1.18446,-11.4701,-589.118
132,1,-1.25297,-11.7125,-589.095
132,2,-1.32818,-11.9543,-589.045
132,3,-1.41699,-12.196,-589.04
133,0,-1.51268,-12.4394,-589.129
133,1,-1.60056,-12.6818,-589.287
133,2,-1.67167,-12.9178,-589.432
133,3,-1.72685,-13.1427,-589.513
134,0,-1.77304,-13.3565,-589.531
134,1,-1.8196,-13.566,-589.501
134,2,-1.87164,-13.7814,-589.432
134,3,-1.92389,-14.0102,-589.359
135,0,-1.96079,-14.2554,-589.302
135,1,-1.96587,-14.5142,-589.242
135,2,-1.93442,-14.7811,-589.155
135,3,-1.87635,-15.0507,-589.043
136,0,-1.81265,-15.3169,-588.93
136,1,-1.76843,-15.5743,-588.848
136,2,-1.75532,-15.8227,-588.816
136,3,-1.76328,-16.0693,-588.824
137,0,-1.77605,-16.3263,-588.825
137,1,-1.78447,-16.6026,-588.775
137,2,-1.78512,-16.8979,-588.668
137,3,-1.77908,-17.2038,-588.529
138,0,-1.77177,-17.5112,-588.361
138,1,-1.76435,-17.8137,-588.136
138,2,-1.74893,-18.109,-587.851
138,3,-1.71783,-18.4027,-587.556
139,0,-1.66995,-18.706,-587.307
139,1,-1.60845,-19.0244,-587.104
139,2,-1.54027,-19.3522,-586.887
139,3,-1.47465,-19.678,-586.603
140,0,-1.41645,-19.9925,-586.258
140,1,-1.36191,-20.2933,-585.899
140,2,-1.30098,-20.5861,-585.563
140,3,-1.22266,-20.8797,-585.278
141,0,-1.1205,-21.178,-585.065
141,1,-0.999971,-21.4771,-584.923
141,2,-0.881624,-21.7685,-584.812
141,3,-0.788535,-22.0438,-584.677
142,0,-0.727962,-22.3008,-584.461
142,1,-0.689206,-22.5492,-584.113
142,2,-0.65751,-22.8032,-583.625
142,3,-0.623409,-23.0642,-583.05
